entreprise,categorie,sous_categorie,ville,canton,adresse,postcode,telephone,email,site_web,latitude,longitude,source,osm_id,score_colixo,besoin_detecte,angle_commercial,message_prospection
Domaine Famille Dubois,vin,domaine_viticole,,Vaud,,,+41799455092,contact@familledubois.ch,,46.3007204,6.9855913,OpenStreetMap / Overpass,node/12951051492,100,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine Famille Dubois, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave du Bon,vin,domaine_viticole,,Vaud,Chemin du Crêt-Blanc 2,,+41 21 801 19 09,,https://www.cavedubon.ch/,46.5332789,6.503049,OpenStreetMap / Overpass,node/3620900433,100,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave du Bon, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave La Tine Fontannaz,vin,domaine_viticole,,Valais,,,+41 27 346 47 47,,https://cavelatine.ch/,46.2254469,7.2953162,OpenStreetMap / Overpass,node/9054610325,100,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave La Tine Fontannaz, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave Mandolé,vin,domaine_viticole,,Valais,,,,,https://mandole.ch/,46.172069,7.191894,OpenStreetMap / Overpass,way/334481060,90,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave Mandolé, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave des Remans,vin,domaine_viticole,,Vaud,,,,,http://www.jdrossier-vins.ch/,46.5014285,6.4091389,OpenStreetMap / Overpass,node/4422274789,90,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave des Remans, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine Montimbert,vin,domaine_viticole,Chardonne,Vaud,Chemin des Essertoux 12,1803,+41 79 854 35 20,montimbert@bluewin.ch,https://www.montimbert.ch/,46.477664,6.8160848,OpenStreetMap / Overpass,node/12919788790,90,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine Montimbert, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine des Abbesses,vin,domaine_viticole,,Vaud,,,,,https://www.vins-perey.ch/,46.5320089,6.5325024,OpenStreetMap / Overpass,node/4422145390,90,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine des Abbesses, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave des Remparts,vin,domaine_viticole,,Valais,,,,,https://www.cavedesremparts.ch/,46.1648154,7.1830809,OpenStreetMap / Overpass,node/11780342939,90,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave des Remparts, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine de Gourmandaz,vin,domaine_viticole,,Vaud,,,,,http://www.gourmandaz.ch,46.8489938,6.7079015,OpenStreetMap / Overpass,node/8887079948,90,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine de Gourmandaz, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave du Brantard,vin,domaine_viticole,,Vaud,12b,,,,https://www.sauty.ch/,46.5188446,6.4528312,OpenStreetMap / Overpass,node/4422089797,90,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave du Brantard, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
